"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060029110","50643","7974"
"T20060029134","29746","6456"
"T20060029202","37164","8624"
"T20060029399","41116","9559"
"T20060029400","50214","7814"
"T20060029421","205590","5272"
"T20060029433","39281","5375"
"T20060029444","29396","9329"
"T20060029482","35778","1028"
"T20060029487","42658","6174"
"T20060029596","54437","9161"
"T20060029605","84","5272"
"T20060029635","49244","105426"
"T20060029636","40724","5402"
"T20060029701","46695","6038"
"T20060029731","531","1015"
"T20060029751","55831","4204"
"T20060029812","29885","6549"
"T20060029825","38155","9047"
"T20060029866","329","5267"
"T20060029871","36189","8739"
"T20060029879","55834","1208"
"T20060030046","48778","8624"
"T20060030069","42123","101320"
"T20060030079","29491","9007"
"T20060030085","40914","5669"
"T20060030108","37282","9340"
"T20060030121","38993","5200"
"T20060030126","41804","5892"
"T20060030150","15202","3087"
"T20060030159","53412","5736"
"T20060030176","1248","8753"
"T20060030239","1175","6546"
"T20060030281","41910","5791"
"T20060030304","36210","9279"
"T20060030311","45400","9169"
"T20060030324","45623","9093"
"T20060030336","41921","5745"
"T20060030389","38871","5293"
"T20060030409","39137","103334"
"T20060030416","52314","100633"
"T20060030501","41155","102285"
"T20060030558","45189","8775"
"T20060030632","24378","6509"
"T20060030676","44117","105595"
"T20060030693","41455","5929"
"T20060030707","39748","5146"
"T20060030740","41873","5806"
"T20060030745","29386","9210"
"T20060030807","46327","6202"
"T20060030896","55848","5337"
"T20060030952","205839","1005"
"T20060030967","38336","5068"
"T20060030996","37633","106079"
"T20060031010","43935","106073"
"T20060031034","40093","9514"
"T20060031045","38468","5044"
"T20060031051","54191","9407"
"T20060031078","43811","5369"
"T20060031144","44195","8863"
"T20060031172","37200","9380"
"T20060031217","35705","8760"
"T20060031222","37164","8624"
"T20060031236","37694","100906"
"T20060031243","70759","6386"
"T20060031248","51821","4263"
"T20060031267","36693","9262"
"T20060031303","876","6270"
"T20060031389","41749","5734"
"T20060031395","43975","6818"
"T20060031410","43430","6693"
"T20060031618","222083","1002"
"T20060031622","43975","6818"
"T20060031648","119","9473"
"T20060031663","55348","3111"
"T20060031664","36210","9279"
"T20060031700","53383","5629"
"T20060031701","207944","2355"
"T20060031837","45214","104270"
"T20060031892","46387","7701"
"T20060031936","45825","100829"
"T20060031974","56079","8857"
"T20060031991","29961","1319"
"T20060032011","29386","9210"
"T20060032025","637","5647"
"T20060032115","801","6166"
"T20060032116","53139","2134"
"T20060032125","44014","6846"
"T20060032136","42805","6348"
"T20060032169","29557","103332"
"T20060032193","29375","9241"
"T20060032225","43933","6713"
"T20060032314","40894","5517"
"T20060032483","55862","104921"
"T20060032490","15411","7747"
"T20060032504","36135","104544"
"T20060032516","50536","7641"
"T20060032556","329","5267"
"T20060032602","26505","102805"
"T20060032723","44242","8644"
"T20060032756","55855","4321"
"T20060032808","45344","9059"
"T20060032815","55858","100996"
"T20060032845","41964","5794"
"T20060032847","57539","5760"
"T20060032870","32079","106094"
"T20060032961","40","6522"
"T20060033024","42675","8972"
"T20060033034","45189","8775"
"T20060033040","29860","6230"
"T20060033080","40913","5671"
"T20060033082","15437","7843"
"T20060033084","46197","6203"
"T20060033120","55861","100170"
"T20060033248","47464","7676"
"T20060033293","38188","9049"
"T20060033316","1320","8736"
"T20060033349","55889","7731"
"T20060033394","36208","9264"
"T20060033406","44382","9567"
"T20060033508","55868","4084"
"T20060033575","38477","5048"
"T20060033610","37624","106078"
"T20060033649","40357","106095"
"T20060033728","41896","5707"
"T20060033749","37980","9012"
"T20060033788","57538","5762"
"T20060033788","57538","100943"
"T20060033937","42197","6153"
"T20060033961","40942","5603"
"T20060033965","35785","7781"
"T20060033976","56495","100905"
"T20060034002","41152","103439"
"T20060034033","37911","9160"
"T20060034134","376","102938"
"T20060034178","55890","100629"
"T20060034182","37170","9420"
"T20060034302","55585","4191"
"T20060034343","10592","1000"
"T20060034364","42822","8978"
"T20060034441","50142","7776"
"T20060034449","1195","7845"
"T20060034452","55889","7731"
"T20060034457","47449","104068"
